"film_id","rental_frequency","film_title","rental_rate"
103,"34","Bucket Brotherhood","4.99"
738,"33","Rocketeer Mother","0.99"
767,"32","Scalawag Duck","4.99"
331,"32","Forward Temple","2.99"
489,"32","Juggler Hardly","0.99"
382,"32","Grit Clockwork","0.99"
730,"32","Ridgemont Submarine","0.99"
31,"31","Apache Divine","4.99"
1000,"31","Zorro Ark","4.99"
621,"31","Network Peak","2.99"
973,"31","Wife Turn","4.99"
891,"31","Timberland Sky","0.99"
418,"31","Hobbit Alien","0.99"
753,"31","Rush Goodfellas","0.99"
369,"31","Goodfellas Salute","4.99"
735,"31","Robbers Joon","2.99"
748,"30","Rugrats Shakespeare","0.99"
563,"30","Massacre Usual","4.99"
979,"30","Witches Panic","4.99"
559,"30","Married Go","2.99"
